Number of Reviews Sampled 126525
Topic ID,Words and Weights
Topic 0,"0.051*""place"" + 0.051*""delicious"" + 0.042*""love"" + 0.039*""always"" + 0.035*""fresh"" + 0.035*""amazing"" + 0.035*""friendly"" + 0.034*""staff"" + 0.026*""everything"" + 0.022*""recommend"""
Topic 1,"0.126*""order"" + 0.031*""bell"" + 0.028*""line"" + 0.026*""drive"" + 0.026*""customer"" + 0.022*""taco"" + 0.020*""minutes"" + 0.018*""orders"" + 0.018*""service"" + 0.017*""employees"""
Topic 2,"0.024*""get"" + 0.024*""one"" + 0.023*""time"" + 0.021*""go"" + 0.020*""like"" + 0.013*""would"" + 0.010*""even"" + 0.010*""place"" + 0.009*""eat"" + 0.009*""people"""
Topic 3,"0.024*""chicken"" + 0.019*""salsa"" + 0.019*""burrito"" + 0.017*""chips"" + 0.017*""ordered"" + 0.014*""also"" + 0.013*""cheese"" + 0.013*""rice"" + 0.013*""sauce"" + 0.013*""got"""
Topic 4,"0.029*""us"" + 0.023*""back"" + 0.022*""went"" + 0.021*""came"" + 0.019*""got"" + 0.017*""said"" + 0.015*""asked"" + 0.014*""table"" + 0.014*""could"" + 0.013*""ordered"""
Topic 5,"0.048*""menu"" + 0.030*""area"" + 0.018*""outside"" + 0.016*""options"" + 0.014*""inside"" + 0.014*""seating"" + 0.013*""lot"" + 0.012*""small"" + 0.012*""parking"" + 0.011*""large"""
Topic 6,"0.101*""good"" + 0.088*""great"" + 0.056*""service"" + 0.034*""really"" + 0.034*""place"" + 0.030*""nice"" + 0.022*""back"" + 0.016*""drinks"" + 0.015*""definitely"" + 0.015*""pretty"""
Topic 7,"0.052*""tamales"" + 0.035*""tamale"" + 0.027*""cake"" + 0.023*""squash"" + 0.022*""n"" + 0.021*""korean"" + 0.018*""sister"" + 0.017*""mercado"" + 0.015*""rib"" + 0.014*""moist"""
Topic 8,"0.051*""fries"" + 0.038*""sandwich"" + 0.036*""vegan"" + 0.029*""burger"" + 0.022*""bread"" + 0.020*""bacon"" + 0.019*""tuna"" + 0.015*""potato"" + 0.015*""poke"" + 0.014*""mac"""
Topic 9,"0.149*""tacos"" + 0.084*""taco"" + 0.082*""mexican"" + 0.035*""best"" + 0.027*""authentic"" + 0.019*""fish"" + 0.015*""asada"" + 0.014*""tortillas"" + 0.013*""carne"" + 0.013*""shrimp"""
