Rating,Word,TF-IDF,Frequency
1,worst,0.25915528912376357,412
1,last,0.24657493528280416,392
1,terrible,0.2226722629849813,354
1,horrible,0.21072092683606988,335
1,better,0.20757583837583005,330
1,small,0.18241513069391124,290
1,fresh,0.17046379454499982,271
1,many,0.16354459993247214,260
1,disappointed,0.16354459993247214,260
1,rude,0.15788344070404042,251
2,little,0.2457600833054895,400
2,small,0.23838728080632482,388
2,better,0.23838728080632482,388
2,fresh,0.2138112724757759,348
2,japanese,0.1781760603964799,290
2,last,0.17633285977168872,287
2,sure,0.1652736560229417,269
2,many,0.157900853523777,257
2,disappointed,0.15605765289898585,254
2,sushi,0.14254084831718392,232
3,little,0.3636581365185546,982
3,small,0.24848738248874758,671
3,fresh,0.24071057916197605,650
3,overall,0.20108591459223538,543
3,better,0.19404975920134684,524
3,decent,0.17405226493250575,470
3,sure,0.16738643350955873,452
3,delicious,0.15886898224690418,429
3,japanese,0.15072185495219115,407
3,special,0.15035153098424967,406
4,delicious,0.3511080815046693,2256
4,fresh,0.33834617428685776,2174
4,little,0.3367898441383441,2164
4,small,0.2206876150592292,1418
4,japanese,0.1872265168661867,1203
4,friendly,0.16030200529690133,1030
4,tasty,0.1556330148513605,1000
4,overall,0.1445830707969139,929
4,sushi,0.13866901623256223,891
4,happy,0.13368875975731867,859
5,delicious,0.4925607522485696,5518
5,fresh,0.41186576855289964,4614
5,friendly,0.22637442328785295,2536
5,favorite,0.20959272313875343,2348
5,amazing,0.175850794115564,1970
5,little,0.1757615297530688,1969
5,super,0.1688881738409376,1892
5,excellent,0.14603649704216382,1636
5,japanese,0.14318003744231708,1604
5,sushi,0.13050449796799724,1462
