Rating,Word,TF-IDF,Frequency
1,food,0.39666490264738036,18788
1,order,0.25107190878660035,11892
1,time,0.1814845381710071,8596
1,place,0.17506628554141357,8292
1,one,0.1728072295171816,8185
1,get,0.17211051130410074,8152
1,service,0.15676159794319774,7425
1,back,0.15659269655820843,7417
1,like,0.1556426262676436,7372
1,would,0.1486332187905875,7040
2,food,0.44483476120411153,11542
2,like,0.19786706498197096,5134
2,place,0.1915464185742882,4970
2,order,0.1679210755992301,4357
2,one,0.16510761713727376,4284
2,time,0.16468367134163653,4273
2,service,0.16179313182592794,4198
2,get,0.16048275391214006,4164
2,tacos,0.1479570826774029,3839
2,would,0.14221454417286186,3690
3,food,0.4301307615992181,13226
3,place,0.20989444543787644,6454
3,tacos,0.201341263047086,6191
3,like,0.19532476592808892,6006
3,would,0.16475445624237403,5066
3,service,0.15616875224553495,4802
3,taco,0.1537296317918875,4727
3,get,0.1457293167039238,4481
3,really,0.14263976412930368,4386
3,time,0.140753510978483,4328
4,food,0.3996478487365588,22102
4,tacos,0.23960427307972765,13251
4,place,0.2383927806416972,13184
4,like,0.16120082216480056,8915
4,really,0.14801906115996155,8186
4,taco,0.1446738954728625,8001
4,service,0.14272104199066413,7893
4,one,0.13941204025693912,7710
4,get,0.13760384258823694,7610
4,mexican,0.1339512832974585,7408
5,food,0.4336910471796693,41275
5,place,0.2813028883123951,26772
5,tacos,0.2627889301020843,25010
5,delicious,0.16617380765951473,15815
5,service,0.15735813743337923,14976
5,mexican,0.14131340747472737,13449
5,back,0.13639596567993428,12981
5,taco,0.13493544343746366,12842
5,amazing,0.13191983276416105,12555
5,time,0.12595165554313012,11987
