Rating,Word,TF-IDF,Frequency
1,worst,0.25111730240199065,7569
1,last,0.2408987624178695,7261
1,terrible,0.2342301697658943,7060
1,horrible,0.23336756574126072,7034
1,cold,0.20403902890371814,6150
1,better,0.1823412199763959,5496
1,wrong,0.17338340895135462,5226
1,sure,0.16761059740188358,5052
1,rude,0.16542091026242906,4986
1,many,0.1652218477952059,4980
2,better,0.25155862067151696,7017
2,little,0.22782599891228306,6355
2,small,0.20556322230732196,5734
2,last,0.20524057337101817,5725
2,sure,0.18907227667401744,5274
2,many,0.17846071165780408,4978
2,hot,0.1568790828072621,4376
2,cold,0.15626963481646605,4359
2,dry,0.15304314545342823,4269
2,disappointed,0.14741471400901776,4112
3,little,0.3500847733852375,14597
3,small,0.20006899908060913,8342
3,delicious,0.19320976463598505,8056
3,better,0.19304188127545227,8049
3,sure,0.18428796319052992,7684
3,hot,0.16925041075423863,7057
3,overall,0.16596469355524038,6920
3,decent,0.15980097588996628,6663
3,friendly,0.15872172571511284,6618
3,many,0.15231817467764908,6351
4,delicious,0.3986293825225456,35974
4,little,0.3443433608130345,31075
4,friendly,0.20953141141154205,18909
4,fresh,0.19167985375201516,17298
4,hot,0.1768866635127424,15963
4,tasty,0.1617721230735154,14599
4,small,0.16166131265973807,14589
4,excellent,0.14664650159291065,13234
4,happy,0.14254651628314968,12864
4,sure,0.14096192736613394,12721
5,delicious,0.5089405833498517,72475
5,friendly,0.24582936186724055,35007
5,fresh,0.2236248758437534,31845
5,amazing,0.2150998138473861,30631
5,excellent,0.19196136304175987,27336
5,little,0.18684913476057752,26608
5,awesome,0.18451071165943228,26275
5,favorite,0.17880861088426733,25463
5,perfect,0.16354214895667055,23289
5,hot,0.15782600359831553,22475
