Number of Reviews Sampled 590163
Topic ID,Words and Weights
Topic 0,"0.107*""coffee"" + 0.083*""breakfast"" + 0.067*""brunch"" + 0.051*""cafe"" + 0.037*""eggs"" + 0.036*""french"" + 0.029*""toast"" + 0.023*""egg"" + 0.023*""bacon"" + 0.019*""sausage"""
Topic 1,"0.065*""beer"" + 0.047*""bar"" + 0.025*""outside"" + 0.022*""selection"" + 0.021*""seating"" + 0.020*""beers"" + 0.018*""area"" + 0.016*""cool"" + 0.015*""parking"" + 0.014*""patio"""
Topic 2,"0.196*""burger"" + 0.132*""fries"" + 0.070*""hot"" + 0.050*""steak"" + 0.038*""sauce"" + 0.035*""beignets"" + 0.023*""pharmacy"" + 0.019*""bacon"" + 0.018*""tots"" + 0.017*""potatoes"""
Topic 3,"0.050*""good"" + 0.030*""like"" + 0.025*""really"" + 0.019*""would"" + 0.015*""get"" + 0.015*""one"" + 0.014*""little"" + 0.012*""pretty"" + 0.011*""much"" + 0.010*""better"""
Topic 4,"0.060*""menu"" + 0.034*""fresh"" + 0.033*""lunch"" + 0.020*""chocolate"" + 0.018*""options"" + 0.017*""also"" + 0.017*""tasty"" + 0.015*""cream"" + 0.014*""dish"" + 0.014*""dessert"""
Topic 5,"0.029*""order"" + 0.018*""get"" + 0.017*""never"" + 0.015*""people"" + 0.014*""one"" + 0.012*""take"" + 0.011*""even"" + 0.010*""know"" + 0.010*""time"" + 0.009*""go"""
Topic 6,"0.036*""us"" + 0.029*""came"" + 0.025*""ordered"" + 0.023*""went"" + 0.022*""table"" + 0.020*""got"" + 0.020*""back"" + 0.019*""time"" + 0.017*""minutes"" + 0.017*""server"""
Topic 7,"0.072*""great"" + 0.063*""place"" + 0.039*""service"" + 0.025*""delicious"" + 0.023*""best"" + 0.023*""love"" + 0.022*""back"" + 0.021*""definitely"" + 0.021*""amazing"" + 0.020*""friendly"""
Topic 8,"0.052*""chicken"" + 0.044*""cheese"" + 0.033*""salad"" + 0.029*""sandwich"" + 0.023*""sweet"" + 0.023*""ordered"" + 0.019*""flavor"" + 0.019*""bread"" + 0.019*""fried"" + 0.017*""cooked"""
Topic 9,"0.025*""restaurant"" + 0.017*""new"" + 0.017*""made"" + 0.010*""day"" + 0.010*""experience"" + 0.009*""find"" + 0.009*""many"" + 0.008*""feel"" + 0.008*""dining"" + 0.008*""one"""
