Number of Reviews Sampled 51659
Topic ID,Words and Weights
Topic 0,"0.080*""great"" + 0.077*""good"" + 0.052*""place"" + 0.047*""chinese"" + 0.045*""love"" + 0.037*""best"" + 0.037*""always"" + 0.036*""service"" + 0.035*""fresh"" + 0.031*""lunch"""
Topic 1,"0.115*""pho"" + 0.041*""vietnamese"" + 0.031*""crowds"" + 0.031*""vegetarian"" + 0.029*""priced"" + 0.021*""vegan"" + 0.020*""nashville"" + 0.018*""indian"" + 0.018*""rolls"" + 0.015*""broth"""
Topic 2,"0.095*""sushi"" + 0.080*""thai"" + 0.075*""salad"" + 0.030*""bar"" + 0.028*""pad"" + 0.024*""roll"" + 0.022*""salmon"" + 0.019*""wei"" + 0.018*""bakeries"" + 0.018*""pei"""
Topic 3,"0.027*""order"" + 0.021*""us"" + 0.015*""time"" + 0.014*""back"" + 0.012*""got"" + 0.012*""went"" + 0.012*""came"" + 0.012*""table"" + 0.012*""service"" + 0.011*""minutes"""
Topic 4,"0.056*""tea"" + 0.036*""cheese"" + 0.032*""cream"" + 0.025*""sandwich"" + 0.020*""donuts"" + 0.017*""pork"" + 0.017*""coffee"" + 0.016*""breakfast"" + 0.016*""bakery"" + 0.015*""bubble"""
Topic 5,"0.047*""delicious"" + 0.040*""definitely"" + 0.034*""amazing"" + 0.028*""everything"" + 0.026*""back"" + 0.025*""recommend"" + 0.025*""try"" + 0.014*""excellent"" + 0.013*""well"" + 0.012*""experience"""
Topic 6,"0.153*""market"" + 0.080*""reading"" + 0.078*""terminal"" + 0.057*""philly"" + 0.039*""amish"" + 0.023*""shops"" + 0.022*""sum"" + 0.021*""dim"" + 0.016*""dinic"" + 0.016*""dutch"""
Topic 7,"0.077*""noodles"" + 0.049*""soup"" + 0.037*""spicy"" + 0.036*""noodle"" + 0.029*""pork"" + 0.026*""beef"" + 0.025*""dumplings"" + 0.025*""dan"" + 0.017*""dishes"" + 0.016*""dish"""
Topic 8,"0.045*""chicken"" + 0.025*""rice"" + 0.023*""fried"" + 0.019*""sauce"" + 0.018*""ordered"" + 0.015*""good"" + 0.014*""got"" + 0.014*""shrimp"" + 0.010*""like"" + 0.009*""flavor"""
Topic 9,"0.023*""place"" + 0.018*""get"" + 0.016*""go"" + 0.015*""one"" + 0.015*""like"" + 0.011*""time"" + 0.010*""eat"" + 0.009*""would"" + 0.008*""really"" + 0.008*""many"""
